user_id,churn_probability,risk_segment,session_count,last_login_days,monthly_spend,features_used,payment_failures,plan_type,actual_churn,recommended_action,priority
2344,0.5731719,High,3,26,499,1,0,Premium,1,Early engagement campaign,P2 - High
2496,0.5689699,High,2,28,0,1,0,Free,1,Early engagement campaign,P2 - High
4839,0.5673687,High,5,28,0,1,0,Free,0,Early engagement campaign,P2 - High
1599,0.56100786,High,5,20,299,1,1,Basic,1,Early engagement campaign,P2 - High
2070,0.5608796,High,3,12,0,5,0,Free,0,Early engagement campaign,P2 - High
3340,0.5586639,High,4,16,0,1,0,Free,1,Early engagement campaign,P2 - High
667,0.55524594,High,4,12,0,4,0,Free,1,Early engagement campaign,P2 - High
582,0.55368984,High,3,24,499,8,0,Premium,1,Early engagement campaign,P2 - High
3937,0.55317086,High,3,24,0,4,1,Free,1,Early engagement campaign,P2 - High
4735,0.55307513,High,3,20,499,6,0,Premium,1,Early engagement campaign,P2 - High
1159,0.5441286,High,3,11,0,4,0,Free,0,Early engagement campaign,P2 - High
832,0.54150194,High,5,23,499,3,0,Premium,1,Early engagement campaign,P2 - High
4466,0.538847,High,2,21,299,5,0,Basic,0,Early engagement campaign,P2 - High
3833,0.5370449,High,5,13,299,2,0,Basic,1,Early engagement campaign,P2 - High
2048,0.53631514,High,3,13,499,2,1,Premium,1,Early engagement campaign,P2 - High
1487,0.53388315,High,1,18,499,5,0,Premium,0,Early engagement campaign,P2 - High
2825,0.5338188,High,5,10,299,2,0,Basic,1,Early engagement campaign,P2 - High
2682,0.5254016,High,4,16,499,2,0,Premium,0,Early engagement campaign,P2 - High
4237,0.5252164,High,5,25,0,2,0,Free,0,Early engagement campaign,P2 - High
915,0.52419037,High,3,25,499,4,1,Premium,1,Early engagement campaign,P2 - High
3420,0.52335256,High,3,29,499,4,0,Premium,0,Early engagement campaign,P2 - High
491,0.52059126,High,1,27,0,2,0,Free,0,Early engagement campaign,P2 - High
2201,0.5158786,High,2,23,0,2,0,Free,1,Early engagement campaign,P2 - High
4039,0.50162554,High,5,24,499,6,0,Premium,1,Early engagement campaign,P2 - High
2922,0.5013187,High,1,24,299,1,0,Basic,0,Early engagement campaign,P2 - High
2033,0.49708384,High,2,13,299,1,0,Basic,1,Early engagement campaign,P2 - High
2691,0.49401605,High,4,30,299,5,1,Basic,0,Early engagement campaign,P2 - High
4090,0.49115112,High,4,24,499,6,0,Premium,0,Early engagement campaign,P2 - High
4343,0.49097025,High,5,14,499,4,0,Premium,0,Early engagement campaign,P2 - High
4688,0.48928544,High,5,16,299,4,0,Basic,0,Early engagement campaign,P2 - High
3130,0.486045,High,1,20,299,6,0,Basic,0,Early engagement campaign,P2 - High
4717,0.48450124,High,6,12,299,3,0,Basic,1,Product engagement campaign,P2 - High
3579,0.48311678,High,5,12,0,7,0,Free,0,Early engagement campaign,P2 - High
4298,0.48211432,High,5,13,0,3,0,Free,1,Early engagement campaign,P2 - High
1709,0.47921234,High,9,12,0,1,0,Free,0,Product engagement campaign,P2 - High
309,0.47627473,High,6,15,299,7,1,Basic,0,Product engagement campaign,P2 - High
995,0.46887055,High,18,12,299,1,0,Basic,1,Product engagement campaign,P2 - High
4185,0.46310526,High,18,11,299,6,2,Basic,0,Product engagement campaign,P2 - High
2173,0.46284938,High,5,17,299,4,0,Basic,0,Early engagement campaign,P2 - High
4920,0.45627406,High,6,10,0,1,0,Free,1,Product engagement campaign,P2 - High
3005,0.45536894,High,2,20,0,6,0,Free,1,Early engagement campaign,P2 - High
695,0.45492807,High,1,20,0,5,0,Free,1,Early engagement campaign,P2 - High
3879,0.45426682,High,9,13,0,1,0,Free,0,Product engagement campaign,P2 - High
3960,0.45033035,High,6,11,0,7,2,Free,0,Product engagement campaign,P2 - High
4473,0.44935742,High,3,19,299,7,1,Basic,1,Early engagement campaign,P2 - High
1855,0.44866222,High,3,19,0,3,0,Free,1,Early engagement campaign,P2 - High
3595,0.4457767,High,3,28,499,6,0,Premium,0,Early engagement campaign,P2 - High
3299,0.4452036,High,15,10,299,4,1,Basic,1,Product engagement campaign,P2 - High
2770,0.44404498,High,11,12,299,2,0,Basic,0,Product engagement campaign,P2 - High
2550,0.4428407,High,20,12,299,1,0,Basic,0,Product engagement campaign,P2 - High
3447,0.43898866,High,5,14,0,1,0,Free,1,Early engagement campaign,P2 - High
3624,0.4375412,High,14,10,299,4,1,Basic,0,Product engagement campaign,P2 - High
3996,0.436494,High,19,10,299,8,0,Basic,0,Product engagement campaign,P2 - High
1389,0.4340176,High,2,13,299,3,0,Basic,1,Early engagement campaign,P2 - High
4892,0.42995086,High,3,18,0,8,0,Free,0,Early engagement campaign,P2 - High
4078,0.42898396,High,15,10,499,3,0,Premium,0,Product engagement campaign,P2 - High
2808,0.42773837,High,19,11,299,1,0,Basic,1,Product engagement campaign,P2 - High
1099,0.4275754,High,13,13,299,3,1,Basic,1,Product engagement campaign,P2 - High
4222,0.42347518,High,2,10,499,4,3,Premium,0,Early engagement campaign,P2 - High
4440,0.4213905,High,16,12,0,1,1,Free,1,Product engagement campaign,P2 - High
842,0.419294,High,35,7,499,7,1,Premium,0,Product engagement campaign,P2 - High
2577,0.4178275,High,4,29,0,2,0,Free,1,Early engagement campaign,P2 - High
2581,0.41421777,High,11,10,0,6,2,Free,0,Product engagement campaign,P2 - High
3916,0.4119442,High,12,12,299,3,0,Basic,0,Product engagement campaign,P2 - High
931,0.4106773,High,9,10,499,1,0,Premium,0,Product engagement campaign,P2 - High
4528,0.41012123,High,2,12,299,2,0,Basic,0,Early engagement campaign,P2 - High
3694,0.40967137,High,11,10,299,5,1,Basic,0,Product engagement campaign,P2 - High
2396,0.40962884,High,5,20,0,3,0,Free,1,Early engagement campaign,P2 - High
3968,0.4079334,High,9,13,299,4,0,Basic,0,Product engagement campaign,P2 - High
4271,0.4061973,High,5,18,299,3,0,Basic,0,Early engagement campaign,P2 - High
3178,0.4047063,High,11,13,299,6,2,Basic,1,Product engagement campaign,P2 - High
4511,0.40434027,High,3,18,499,5,0,Premium,0,Early engagement campaign,P2 - High
3250,0.4025046,High,10,12,0,3,0,Free,1,Product engagement campaign,P2 - High
1421,0.3989767,Moderate,2,26,499,2,0,Premium,0,Feature discovery campaign,P3 - Medium
1731,0.398358,Moderate,15,10,499,2,0,Premium,1,Product education campaign,P3 - Medium
3644,0.39249265,Moderate,11,13,0,2,0,Free,0,Product education campaign,P3 - Medium
1694,0.3922684,Moderate,9,12,0,3,0,Free,1,Product education campaign,P3 - Medium
4544,0.3916052,Moderate,12,15,0,2,1,Free,0,Feature discovery campaign,P3 - Medium
337,0.39156944,Moderate,14,10,0,3,0,Free,1,Product education campaign,P3 - Medium
3748,0.39099067,Moderate,13,10,0,1,0,Free,0,Product education campaign,P3 - Medium
1498,0.3902312,Moderate,2,13,0,2,0,Free,0,Product education campaign,P3 - Medium
47,0.38935512,Moderate,18,15,299,2,0,Basic,1,Feature discovery campaign,P3 - Medium
1003,0.38904324,Moderate,15,12,299,3,0,Basic,1,Product education campaign,P3 - Medium
4111,0.3886212,Moderate,15,10,0,3,0,Free,0,Product education campaign,P3 - Medium
1386,0.38827753,Moderate,11,13,0,3,0,Free,0,Product education campaign,P3 - Medium
573,0.3881822,Moderate,8,13,299,4,0,Basic,0,Product education campaign,P3 - Medium
4144,0.3878671,Moderate,9,13,499,1,2,Premium,0,Product education campaign,P3 - Medium
2994,0.3870301,Moderate,13,10,0,3,0,Free,0,Product education campaign,P3 - Medium
2305,0.38654572,Moderate,2,20,299,4,0,Basic,0,Feature discovery campaign,P3 - Medium
1070,0.38632548,Moderate,1,16,299,1,0,Basic,0,Feature discovery campaign,P3 - Medium
3277,0.3857001,Moderate,19,11,299,4,0,Basic,0,Product education campaign,P3 - Medium
269,0.38444078,Moderate,4,18,499,4,0,Premium,0,Feature discovery campaign,P3 - Medium
4963,0.38396114,Moderate,10,13,0,3,0,Free,0,Product education campaign,P3 - Medium
2735,0.38388482,Moderate,11,13,0,4,1,Free,0,Product education campaign,P3 - Medium
2899,0.38383093,Moderate,19,12,299,7,1,Basic,0,Product education campaign,P3 - Medium
3884,0.38277572,Moderate,6,15,499,3,1,Premium,0,Feature discovery campaign,P3 - Medium
2782,0.3794583,Moderate,1,16,299,4,0,Basic,0,Feature discovery campaign,P3 - Medium
4662,0.37815055,Moderate,7,12,299,4,0,Basic,0,Product education campaign,P3 - Medium
1455,0.3774158,Moderate,15,9,499,6,1,Premium,0,Product education campaign,P3 - Medium
1896,0.37544063,Moderate,15,9,499,2,1,Premium,0,Product education campaign,P3 - Medium
2256,0.37203482,Moderate,7,13,299,3,0,Basic,0,Product education campaign,P3 - Medium
2089,0.37195945,Moderate,16,10,299,1,0,Basic,0,Product education campaign,P3 - Medium
3707,0.37115252,Moderate,15,13,299,2,0,Basic,0,Product education campaign,P3 - Medium
2074,0.37051874,Moderate,3,20,0,3,3,Free,0,Feature discovery campaign,P3 - Medium
4816,0.36716458,Moderate,13,11,0,4,2,Free,1,Product education campaign,P3 - Medium
42,0.36195806,Moderate,1,16,0,5,2,Free,0,Feature discovery campaign,P3 - Medium
1362,0.3617386,Moderate,17,10,0,5,2,Free,1,Product education campaign,P3 - Medium
1780,0.35933074,Moderate,8,13,299,5,0,Basic,0,Product education campaign,P3 - Medium
3572,0.35933074,Moderate,8,13,299,5,0,Basic,1,Product education campaign,P3 - Medium
4264,0.35872644,Moderate,6,15,0,8,0,Free,0,Feature discovery campaign,P3 - Medium
4854,0.35799006,Moderate,13,12,299,6,0,Basic,1,Product education campaign,P3 - Medium
1092,0.35769477,Moderate,2,14,299,4,2,Basic,1,Feature discovery campaign,P3 - Medium
3675,0.35680336,Moderate,16,10,0,5,1,Free,0,Product education campaign,P3 - Medium
3313,0.3540083,Moderate,7,13,299,4,0,Basic,0,Product education campaign,P3 - Medium
2987,0.35329714,Moderate,11,15,0,2,0,Free,1,Feature discovery campaign,P3 - Medium
4100,0.34733844,Moderate,3,20,299,3,3,Basic,1,Feature discovery campaign,P3 - Medium
4179,0.346149,Moderate,9,13,299,6,1,Basic,0,Product education campaign,P3 - Medium
3094,0.34546924,Moderate,18,10,0,2,1,Free,0,Product education campaign,P3 - Medium
283,0.3435288,Moderate,17,15,499,1,0,Premium,0,Feature discovery campaign,P3 - Medium
2076,0.3435288,Moderate,17,15,499,1,0,Premium,0,Feature discovery campaign,P3 - Medium
1931,0.3425861,Moderate,13,15,299,3,1,Basic,0,Feature discovery campaign,P3 - Medium
411,0.34045118,Moderate,11,15,0,3,0,Free,1,Feature discovery campaign,P3 - Medium
351,0.33875352,Moderate,1,11,299,5,0,Basic,1,Product education campaign,P3 - Medium
4915,0.336805,Moderate,14,15,499,2,1,Premium,1,Feature discovery campaign,P3 - Medium
3038,0.33602917,Moderate,16,15,299,2,0,Basic,1,Feature discovery campaign,P3 - Medium
1768,0.3346575,Moderate,3,29,0,6,0,Free,0,Feature discovery campaign,P3 - Medium
4977,0.33141983,Moderate,12,12,0,5,0,Free,0,Product education campaign,P3 - Medium
1204,0.33060804,Moderate,5,12,0,6,3,Free,0,Product education campaign,P3 - Medium
4678,0.3305092,Moderate,7,10,0,2,0,Free,0,Product education campaign,P3 - Medium
721,0.3284247,Moderate,15,10,299,6,0,Basic,0,Product education campaign,P3 - Medium
4541,0.32800066,Moderate,15,12,0,3,0,Free,0,Product education campaign,P3 - Medium
284,0.3278467,Moderate,8,13,0,3,1,Free,1,Product education campaign,P3 - Medium
2044,0.32775843,Moderate,6,3,299,4,1,Basic,0,Product education campaign,P3 - Medium
4953,0.32654983,Moderate,14,10,499,2,1,Premium,1,Product education campaign,P3 - Medium
4595,0.32610905,Moderate,18,14,299,3,0,Basic,1,Feature discovery campaign,P3 - Medium
3293,0.3260887,Moderate,12,12,499,2,2,Premium,1,Product education campaign,P3 - Medium
1084,0.32544282,Moderate,15,9,499,4,0,Premium,1,Product education campaign,P3 - Medium
3456,0.32514945,Moderate,12,11,0,4,0,Free,0,Product education campaign,P3 - Medium
4170,0.32492888,Moderate,1,11,0,3,0,Free,1,Product education campaign,P3 - Medium
1669,0.3235559,Moderate,14,15,499,2,0,Premium,0,Feature discovery campaign,P3 - Medium
1422,0.32256767,Moderate,14,12,0,3,0,Free,0,Product education campaign,P3 - Medium
181,0.32143995,Moderate,15,13,499,4,0,Premium,0,Product education campaign,P3 - Medium
462,0.32077688,Moderate,12,10,0,6,0,Free,0,Product education campaign,P3 - Medium
1273,0.31829435,Moderate,19,12,299,6,0,Basic,0,Product education campaign,P3 - Medium
3327,0.31755164,Moderate,16,10,499,5,0,Premium,1,Product education campaign,P3 - Medium
1679,0.31730813,Moderate,15,13,0,2,0,Free,1,Product education campaign,P3 - Medium
3782,0.31664965,Moderate,18,14,299,5,0,Basic,0,Feature discovery campaign,P3 - Medium
471,0.3158205,Moderate,16,12,0,7,0,Free,0,Product education campaign,P3 - Medium
878,0.31325153,Moderate,13,15,0,1,0,Free,0,Feature discovery campaign,P3 - Medium
1678,0.3126522,Moderate,6,15,0,5,0,Free,0,Feature discovery campaign,P3 - Medium
1883,0.31028503,Moderate,17,3,0,8,0,Free,0,Product education campaign,P3 - Medium
1885,0.30985376,Moderate,11,15,299,4,0,Basic,1,Feature discovery campaign,P3 - Medium
2852,0.3090017,Moderate,11,15,0,5,0,Free,0,Feature discovery campaign,P3 - Medium
4377,0.30867234,Moderate,15,13,0,3,0,Free,1,Product education campaign,P3 - Medium
1312,0.30818656,Moderate,19,3,0,8,0,Free,0,Product education campaign,P3 - Medium
23,0.3076435,Moderate,12,15,499,2,1,Premium,0,Feature discovery campaign,P3 - Medium
3079,0.30343813,Moderate,16,14,0,3,2,Free,0,Feature discovery campaign,P3 - Medium
3791,0.30216163,Moderate,9,15,0,4,0,Free,0,Feature discovery campaign,P3 - Medium
4046,0.30158183,Moderate,14,13,0,4,0,Free,0,Product education campaign,P3 - Medium
1382,0.30135867,Moderate,16,11,499,2,0,Premium,0,Product education campaign,P3 - Medium
3689,0.30048874,Moderate,19,10,0,4,1,Free,1,Product education campaign,P3 - Medium
3857,0.2995815,Moderate,18,10,499,5,0,Premium,0,Product education campaign,P3 - Medium
4470,0.2995187,Moderate,12,15,0,4,0,Free,0,Feature discovery campaign,P3 - Medium
1889,0.29839617,Moderate,18,7,0,7,2,Free,0,Product education campaign,P3 - Medium
3284,0.29817322,Moderate,6,14,499,4,0,Premium,0,Feature discovery campaign,P3 - Medium
3789,0.2974417,Moderate,17,10,299,1,0,Basic,1,Product education campaign,P3 - Medium
1949,0.29725817,Moderate,15,8,499,4,1,Premium,0,Product education campaign,P3 - Medium
2523,0.29529497,Moderate,16,14,499,4,0,Premium,0,Feature discovery campaign,P3 - Medium
1187,0.29474446,Moderate,12,12,499,7,0,Premium,1,Product education campaign,P3 - Medium
1775,0.29309785,Moderate,16,12,499,3,1,Premium,0,Product education campaign,P3 - Medium
2653,0.2921555,Moderate,19,10,0,5,0,Free,0,Product education campaign,P3 - Medium
2,0.29188013,Moderate,9,15,299,1,0,Basic,0,Feature discovery campaign,P3 - Medium
4407,0.29084504,Moderate,11,14,299,3,0,Basic,0,Feature discovery campaign,P3 - Medium
4800,0.29081157,Moderate,18,9,299,6,0,Basic,0,Product education campaign,P3 - Medium
4297,0.28969452,Moderate,11,11,499,2,0,Premium,1,Product education campaign,P3 - Medium
3430,0.28934938,Moderate,16,13,499,4,0,Premium,1,Product education campaign,P3 - Medium
3439,0.2884855,Moderate,8,10,0,6,0,Free,0,Product education campaign,P3 - Medium
1737,0.28816855,Moderate,10,15,0,5,1,Free,1,Feature discovery campaign,P3 - Medium
4883,0.2880229,Moderate,16,9,499,3,0,Premium,0,Product education campaign,P3 - Medium
1615,0.28785774,Moderate,13,14,299,3,0,Basic,1,Feature discovery campaign,P3 - Medium
1496,0.28785607,Moderate,18,7,0,8,0,Free,0,Product education campaign,P3 - Medium
3626,0.28749368,Moderate,3,18,499,6,3,Premium,0,Feature discovery campaign,P3 - Medium
3669,0.28668177,Moderate,18,15,299,6,1,Basic,1,Feature discovery campaign,P3 - Medium
1137,0.2864472,Moderate,18,13,0,7,0,Free,1,Product education campaign,P3 - Medium
1061,0.28612056,Moderate,10,14,0,1,0,Free,1,Feature discovery campaign,P3 - Medium
4806,0.28550923,Moderate,18,3,0,7,0,Free,0,Product education campaign,P3 - Medium
2813,0.28367075,Moderate,13,14,499,1,0,Premium,0,Feature discovery campaign,P3 - Medium
2806,0.28357133,Moderate,4,19,299,8,0,Basic,0,Feature discovery campaign,P3 - Medium
4426,0.28080148,Moderate,17,10,0,4,0,Free,1,Product education campaign,P3 - Medium
1318,0.27553242,Moderate,9,6,299,1,0,Basic,0,Product education campaign,P3 - Medium
4020,0.27411038,Moderate,20,11,299,3,0,Basic,1,Product education campaign,P3 - Medium
1848,0.27067,Moderate,6,14,499,6,0,Premium,0,Feature discovery campaign,P3 - Medium
2864,0.26977217,Moderate,11,14,299,3,1,Basic,0,Feature discovery campaign,P3 - Medium
3258,0.26817736,Moderate,7,5,299,4,0,Basic,0,Product education campaign,P3 - Medium
1158,0.26798233,Moderate,17,10,0,3,0,Free,0,Product education campaign,P3 - Medium
3651,0.26588756,Moderate,8,4,299,4,0,Basic,0,Product education campaign,P3 - Medium
1229,0.26545694,Moderate,9,7,299,5,0,Basic,0,Product education campaign,P3 - Medium
1853,0.26388022,Moderate,20,10,299,2,0,Basic,0,Product education campaign,P3 - Medium
1927,0.26378095,Moderate,11,14,0,5,0,Free,1,Feature discovery campaign,P3 - Medium
4125,0.26102793,Moderate,7,6,299,1,0,Basic,0,Product education campaign,P3 - Medium
939,0.26100245,Moderate,19,3,299,7,1,Basic,0,Product education campaign,P3 - Medium
2149,0.26034623,Moderate,7,6,299,4,1,Basic,0,Product education campaign,P3 - Medium
2063,0.26013082,Moderate,16,14,0,4,0,Free,0,Feature discovery campaign,P3 - Medium
2709,0.25990552,Moderate,17,15,0,3,0,Free,0,Feature discovery campaign,P3 - Medium
2004,0.2597691,Moderate,17,9,299,4,0,Basic,0,Product education campaign,P3 - Medium
2455,0.25676876,Moderate,13,14,499,2,0,Premium,0,Feature discovery campaign,P3 - Medium
119,0.25236806,Moderate,18,8,299,3,0,Basic,0,Product education campaign,P3 - Medium
463,0.25170097,Moderate,8,15,0,4,2,Free,0,Feature discovery campaign,P3 - Medium
3346,0.25134572,Moderate,6,4,0,5,2,Free,1,Product education campaign,P3 - Medium
1733,0.2504748,Moderate,8,13,0,5,0,Free,0,Product education campaign,P3 - Medium
4855,0.25030676,Moderate,7,11,499,3,0,Premium,0,Product education campaign,P3 - Medium
3046,0.25019845,Moderate,19,3,299,7,0,Basic,0,Product education campaign,P3 - Medium
2360,0.24969687,Moderate,20,13,0,1,1,Free,0,Product education campaign,P3 - Medium
2013,0.24935922,Moderate,19,7,299,5,1,Basic,0,Product education campaign,P3 - Medium
3745,0.24839255,Moderate,9,4,299,2,0,Basic,0,Product education campaign,P3 - Medium
4602,0.24573176,Moderate,14,14,0,2,0,Free,0,Feature discovery campaign,P3 - Medium
4089,0.24419829,Moderate,7,5,299,6,1,Basic,0,Product education campaign,P3 - Medium
109,0.24418089,Moderate,17,6,299,5,1,Basic,0,Product education campaign,P3 - Medium
138,0.24410324,Moderate,19,10,0,6,0,Free,0,Product education campaign,P3 - Medium
1822,0.24311553,Moderate,13,10,499,6,1,Premium,0,Product education campaign,P3 - Medium
3754,0.24196497,Moderate,18,6,299,2,0,Basic,0,Product education campaign,P3 - Medium
4266,0.2401428,Moderate,8,15,0,3,0,Free,0,Feature discovery campaign,P3 - Medium
2781,0.24005583,Moderate,8,5,299,4,0,Basic,0,Product education campaign,P3 - Medium
1264,0.23879422,Moderate,17,9,0,7,1,Free,0,Product education campaign,P3 - Medium
4457,0.23775303,Moderate,13,15,0,6,0,Free,0,Feature discovery campaign,P3 - Medium
3269,0.23655848,Moderate,9,7,299,4,0,Basic,1,Product education campaign,P3 - Medium
3585,0.23408282,Moderate,13,9,299,5,0,Basic,0,Product education campaign,P3 - Medium
79,0.23395228,Moderate,9,9,299,2,0,Basic,1,Product education campaign,P3 - Medium
2411,0.23321025,Moderate,17,14,299,3,1,Basic,1,Feature discovery campaign,P3 - Medium
1939,0.23255596,Moderate,15,3,0,4,0,Free,0,Product education campaign,P3 - Medium
4157,0.23226775,Moderate,6,6,499,1,1,Premium,0,Product education campaign,P3 - Medium
2199,0.23186417,Moderate,7,15,299,2,0,Basic,1,Feature discovery campaign,P3 - Medium
4785,0.2317745,Moderate,14,7,299,4,0,Basic,0,Product education campaign,P3 - Medium
3037,0.23172134,Moderate,9,4,299,1,0,Basic,0,Product education campaign,P3 - Medium
1707,0.23123382,Moderate,12,11,299,2,3,Basic,0,Product education campaign,P3 - Medium
4259,0.23101255,Moderate,19,6,499,7,0,Premium,0,Product education campaign,P3 - Medium
3740,0.23079765,Moderate,7,15,0,1,0,Free,1,Feature discovery campaign,P3 - Medium
4074,0.23062982,Moderate,18,5,0,8,0,Free,1,Product education campaign,P3 - Medium
2596,0.23057099,Moderate,18,14,0,5,0,Free,1,Feature discovery campaign,P3 - Medium
3409,0.23039307,Moderate,32,1,0,6,1,Free,0,Product education campaign,P3 - Medium
2945,0.23035248,Moderate,17,11,499,7,0,Premium,1,Product education campaign,P3 - Medium
4601,0.22968948,Moderate,19,7,299,1,0,Basic,0,Product education campaign,P3 - Medium
3086,0.22963643,Moderate,16,9,0,1,0,Free,0,Product education campaign,P3 - Medium
4436,0.22953027,Moderate,17,11,0,3,1,Free,1,Product education campaign,P3 - Medium
3350,0.2293757,Moderate,19,13,0,4,0,Free,0,Product education campaign,P3 - Medium
317,0.2293757,Moderate,19,13,0,4,0,Free,1,Product education campaign,P3 - Medium
837,0.22887984,Moderate,15,3,299,4,0,Basic,0,Product education campaign,P3 - Medium
3472,0.22887984,Moderate,15,3,299,4,0,Basic,0,Product education campaign,P3 - Medium
2008,0.22856598,Moderate,15,4,499,1,0,Premium,0,Product education campaign,P3 - Medium
442,0.22848019,Moderate,18,7,299,1,0,Basic,0,Product education campaign,P3 - Medium
3362,0.22848019,Moderate,18,7,299,1,0,Basic,0,Product education campaign,P3 - Medium
4764,0.22818172,Moderate,8,14,299,7,0,Basic,0,Feature discovery campaign,P3 - Medium
3053,0.2274243,Moderate,15,3,499,4,0,Premium,0,Product education campaign,P3 - Medium
3584,0.22733587,Moderate,17,13,0,3,0,Free,1,Product education campaign,P3 - Medium
3665,0.22616825,Moderate,17,3,0,4,1,Free,0,Product education campaign,P3 - Medium
618,0.22614351,Moderate,15,8,299,1,0,Basic,0,Product education campaign,P3 - Medium
4727,0.22581719,Moderate,17,11,0,3,0,Free,0,Product education campaign,P3 - Medium
302,0.2256967,Moderate,14,8,299,5,0,Basic,0,Product education campaign,P3 - Medium
4674,0.22554901,Moderate,14,7,299,2,0,Basic,0,Product education campaign,P3 - Medium
1471,0.22471069,Moderate,24,0,0,4,2,Free,0,Product education campaign,P3 - Medium
2057,0.22398573,Moderate,7,13,0,5,0,Free,1,Product education campaign,P3 - Medium
2494,0.22258967,Moderate,14,6,499,3,1,Premium,0,Product education campaign,P3 - Medium
3839,0.22219406,Moderate,17,11,0,7,0,Free,1,Product education campaign,P3 - Medium
367,0.22179818,Moderate,16,9,0,3,0,Free,0,Product education campaign,P3 - Medium
996,0.2217239,Moderate,10,9,299,1,0,Basic,0,Product education campaign,P3 - Medium
2837,0.2217239,Moderate,10,9,299,1,0,Basic,0,Product education campaign,P3 - Medium
2981,0.22168086,Moderate,17,7,299,5,0,Basic,0,Product education campaign,P3 - Medium
2509,0.22154976,Moderate,16,8,299,5,0,Basic,0,Product education campaign,P3 - Medium
