user_id,risk_segment,churn_probability,recommended_action,priority,monthly_spend,plan_type,session_count,last_login_days,actual_churn,intervention_status,intervention_date,response_status,retained_after_intervention
2942,High,0.66957986,Early engagement campaign,P2 - High,299,Basic,5,10,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4485,High,0.6683007,Early engagement campaign,P2 - High,0,Free,3,23,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4656,High,0.66096574,Early engagement campaign,P2 - High,0,Free,1,27,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3571,High,0.66022605,Early engagement campaign,P2 - High,499,Premium,3,23,1,Simulated - Pending,2026-09-07,Not Yet Measured,
292,High,0.6601604,Early engagement campaign,P2 - High,499,Premium,2,13,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3649,High,0.64894444,Early engagement campaign,P2 - High,499,Premium,1,23,0,Simulated - Pending,2026-09-07,Not Yet Measured,
570,High,0.64475095,Early engagement campaign,P2 - High,0,Free,4,29,1,Simulated - Pending,2026-09-07,Not Yet Measured,
38,High,0.64240456,Early engagement campaign,P2 - High,299,Basic,3,20,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3714,High,0.63642263,Early engagement campaign,P2 - High,299,Basic,4,21,1,Simulated - Pending,2026-09-07,Not Yet Measured,
2968,High,0.6362403,Early engagement campaign,P2 - High,299,Basic,1,22,0,Simulated - Pending,2026-09-07,Not Yet Measured,
740,High,0.6317194,Early engagement campaign,P2 - High,0,Free,2,10,0,Simulated - Pending,2026-09-07,Not Yet Measured,
457,High,0.63028157,Early engagement campaign,P2 - High,0,Free,1,26,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2976,High,0.62711495,Early engagement campaign,P2 - High,0,Free,4,23,0,Simulated - Pending,2026-09-07,Not Yet Measured,
616,High,0.6267309,Early engagement campaign,P2 - High,0,Free,1,12,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4625,High,0.62454003,Early engagement campaign,P2 - High,0,Free,1,29,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3989,High,0.6128559,Early engagement campaign,P2 - High,499,Premium,2,24,1,Simulated - Pending,2026-09-07,Not Yet Measured,
2244,High,0.60960954,Early engagement campaign,P2 - High,0,Free,4,10,1,Simulated - Pending,2026-09-07,Not Yet Measured,
611,High,0.60928196,Early engagement campaign,P2 - High,299,Basic,3,25,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1291,High,0.60791373,Early engagement campaign,P2 - High,299,Basic,4,23,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2086,High,0.6043318,Early engagement campaign,P2 - High,299,Basic,4,26,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1458,High,0.5994766,Early engagement campaign,P2 - High,499,Premium,3,22,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4665,High,0.5960864,Early engagement campaign,P2 - High,0,Free,3,12,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3265,High,0.59434944,Early engagement campaign,P2 - High,0,Free,4,21,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1155,High,0.58291656,Early engagement campaign,P2 - High,299,Basic,3,28,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2028,High,0.58172005,Early engagement campaign,P2 - High,0,Free,2,25,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4464,High,0.5783711,Early engagement campaign,P2 - High,0,Free,2,23,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3172,High,0.5774523,Early engagement campaign,P2 - High,0,Free,4,25,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4936,High,0.5747039,Early engagement campaign,P2 - High,0,Free,3,24,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3886,High,0.5743283,Early engagement campaign,P2 - High,0,Free,5,25,1,Simulated - Pending,2026-09-07,Not Yet Measured,
2185,High,0.57387674,Early engagement campaign,P2 - High,299,Basic,5,24,1,Simulated - Pending,2026-09-07,Not Yet Measured,
2344,High,0.5731719,Early engagement campaign,P2 - High,499,Premium,3,26,1,Simulated - Pending,2026-09-07,Not Yet Measured,
2496,High,0.5689699,Early engagement campaign,P2 - High,0,Free,2,28,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4839,High,0.5673687,Early engagement campaign,P2 - High,0,Free,5,28,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1599,High,0.56100786,Early engagement campaign,P2 - High,299,Basic,5,20,1,Simulated - Pending,2026-09-07,Not Yet Measured,
2070,High,0.5608796,Early engagement campaign,P2 - High,0,Free,3,12,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3340,High,0.5586639,Early engagement campaign,P2 - High,0,Free,4,16,1,Simulated - Pending,2026-09-07,Not Yet Measured,
667,High,0.55524594,Early engagement campaign,P2 - High,0,Free,4,12,1,Simulated - Pending,2026-09-07,Not Yet Measured,
582,High,0.55368984,Early engagement campaign,P2 - High,499,Premium,3,24,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3937,High,0.55317086,Early engagement campaign,P2 - High,0,Free,3,24,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4735,High,0.55307513,Early engagement campaign,P2 - High,499,Premium,3,20,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1159,High,0.5441286,Early engagement campaign,P2 - High,0,Free,3,11,0,Simulated - Pending,2026-09-07,Not Yet Measured,
832,High,0.54150194,Early engagement campaign,P2 - High,499,Premium,5,23,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4466,High,0.538847,Early engagement campaign,P2 - High,299,Basic,2,21,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3833,High,0.5370449,Early engagement campaign,P2 - High,299,Basic,5,13,1,Simulated - Pending,2026-09-07,Not Yet Measured,
2048,High,0.53631514,Early engagement campaign,P2 - High,499,Premium,3,13,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1487,High,0.53388315,Early engagement campaign,P2 - High,499,Premium,1,18,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2825,High,0.5338188,Early engagement campaign,P2 - High,299,Basic,5,10,1,Simulated - Pending,2026-09-07,Not Yet Measured,
2682,High,0.5254016,Early engagement campaign,P2 - High,499,Premium,4,16,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4237,High,0.5252164,Early engagement campaign,P2 - High,0,Free,5,25,0,Simulated - Pending,2026-09-07,Not Yet Measured,
915,High,0.52419037,Early engagement campaign,P2 - High,499,Premium,3,25,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3420,High,0.52335256,Early engagement campaign,P2 - High,499,Premium,3,29,0,Simulated - Pending,2026-09-07,Not Yet Measured,
491,High,0.52059126,Early engagement campaign,P2 - High,0,Free,1,27,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2201,High,0.5158786,Early engagement campaign,P2 - High,0,Free,2,23,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4039,High,0.50162554,Early engagement campaign,P2 - High,499,Premium,5,24,1,Simulated - Pending,2026-09-07,Not Yet Measured,
2922,High,0.5013187,Early engagement campaign,P2 - High,299,Basic,1,24,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2033,High,0.49708384,Early engagement campaign,P2 - High,299,Basic,2,13,1,Simulated - Pending,2026-09-07,Not Yet Measured,
2691,High,0.49401605,Early engagement campaign,P2 - High,299,Basic,4,30,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4090,High,0.49115112,Early engagement campaign,P2 - High,499,Premium,4,24,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4343,High,0.49097025,Early engagement campaign,P2 - High,499,Premium,5,14,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4688,High,0.48928544,Early engagement campaign,P2 - High,299,Basic,5,16,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3130,High,0.486045,Early engagement campaign,P2 - High,299,Basic,1,20,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4717,High,0.48450124,Product engagement campaign,P2 - High,299,Basic,6,12,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3579,High,0.48311678,Early engagement campaign,P2 - High,0,Free,5,12,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4298,High,0.48211432,Early engagement campaign,P2 - High,0,Free,5,13,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1709,High,0.47921234,Product engagement campaign,P2 - High,0,Free,9,12,0,Simulated - Pending,2026-09-07,Not Yet Measured,
309,High,0.47627473,Product engagement campaign,P2 - High,299,Basic,6,15,0,Simulated - Pending,2026-09-07,Not Yet Measured,
995,High,0.46887055,Product engagement campaign,P2 - High,299,Basic,18,12,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4185,High,0.46310526,Product engagement campaign,P2 - High,299,Basic,18,11,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2173,High,0.46284938,Early engagement campaign,P2 - High,299,Basic,5,17,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4920,High,0.45627406,Product engagement campaign,P2 - High,0,Free,6,10,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3005,High,0.45536894,Early engagement campaign,P2 - High,0,Free,2,20,1,Simulated - Pending,2026-09-07,Not Yet Measured,
695,High,0.45492807,Early engagement campaign,P2 - High,0,Free,1,20,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3879,High,0.45426682,Product engagement campaign,P2 - High,0,Free,9,13,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3960,High,0.45033035,Product engagement campaign,P2 - High,0,Free,6,11,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4473,High,0.44935742,Early engagement campaign,P2 - High,299,Basic,3,19,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1855,High,0.44866222,Early engagement campaign,P2 - High,0,Free,3,19,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3595,High,0.4457767,Early engagement campaign,P2 - High,499,Premium,3,28,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3299,High,0.4452036,Product engagement campaign,P2 - High,299,Basic,15,10,1,Simulated - Pending,2026-09-07,Not Yet Measured,
2770,High,0.44404498,Product engagement campaign,P2 - High,299,Basic,11,12,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2550,High,0.4428407,Product engagement campaign,P2 - High,299,Basic,20,12,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3447,High,0.43898866,Early engagement campaign,P2 - High,0,Free,5,14,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3624,High,0.4375412,Product engagement campaign,P2 - High,299,Basic,14,10,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3996,High,0.436494,Product engagement campaign,P2 - High,299,Basic,19,10,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1389,High,0.4340176,Early engagement campaign,P2 - High,299,Basic,2,13,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4892,High,0.42995086,Early engagement campaign,P2 - High,0,Free,3,18,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4078,High,0.42898396,Product engagement campaign,P2 - High,499,Premium,15,10,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2808,High,0.42773837,Product engagement campaign,P2 - High,299,Basic,19,11,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1099,High,0.4275754,Product engagement campaign,P2 - High,299,Basic,13,13,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4222,High,0.42347518,Early engagement campaign,P2 - High,499,Premium,2,10,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4440,High,0.4213905,Product engagement campaign,P2 - High,0,Free,16,12,1,Simulated - Pending,2026-09-07,Not Yet Measured,
842,High,0.419294,Product engagement campaign,P2 - High,499,Premium,35,7,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2577,High,0.4178275,Early engagement campaign,P2 - High,0,Free,4,29,1,Simulated - Pending,2026-09-07,Not Yet Measured,
2581,High,0.41421777,Product engagement campaign,P2 - High,0,Free,11,10,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3916,High,0.4119442,Product engagement campaign,P2 - High,299,Basic,12,12,0,Simulated - Pending,2026-09-07,Not Yet Measured,
931,High,0.4106773,Product engagement campaign,P2 - High,499,Premium,9,10,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4528,High,0.41012123,Early engagement campaign,P2 - High,299,Basic,2,12,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3694,High,0.40967137,Product engagement campaign,P2 - High,299,Basic,11,10,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2396,High,0.40962884,Early engagement campaign,P2 - High,0,Free,5,20,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3968,High,0.4079334,Product engagement campaign,P2 - High,299,Basic,9,13,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4271,High,0.4061973,Early engagement campaign,P2 - High,299,Basic,5,18,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3178,High,0.4047063,Product engagement campaign,P2 - High,299,Basic,11,13,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4511,High,0.40434027,Early engagement campaign,P2 - High,499,Premium,3,18,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3250,High,0.4025046,Product engagement campaign,P2 - High,0,Free,10,12,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1421,Moderate,0.3989767,Feature discovery campaign,P3 - Medium,499,Premium,2,26,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1731,Moderate,0.398358,Product education campaign,P3 - Medium,499,Premium,15,10,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3644,Moderate,0.39249265,Product education campaign,P3 - Medium,0,Free,11,13,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1694,Moderate,0.3922684,Product education campaign,P3 - Medium,0,Free,9,12,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4544,Moderate,0.3916052,Feature discovery campaign,P3 - Medium,0,Free,12,15,0,Simulated - Pending,2026-09-07,Not Yet Measured,
337,Moderate,0.39156944,Product education campaign,P3 - Medium,0,Free,14,10,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3748,Moderate,0.39099067,Product education campaign,P3 - Medium,0,Free,13,10,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1498,Moderate,0.3902312,Product education campaign,P3 - Medium,0,Free,2,13,0,Simulated - Pending,2026-09-07,Not Yet Measured,
47,Moderate,0.38935512,Feature discovery campaign,P3 - Medium,299,Basic,18,15,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1003,Moderate,0.38904324,Product education campaign,P3 - Medium,299,Basic,15,12,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4111,Moderate,0.3886212,Product education campaign,P3 - Medium,0,Free,15,10,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1386,Moderate,0.38827753,Product education campaign,P3 - Medium,0,Free,11,13,0,Simulated - Pending,2026-09-07,Not Yet Measured,
573,Moderate,0.3881822,Product education campaign,P3 - Medium,299,Basic,8,13,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4144,Moderate,0.3878671,Product education campaign,P3 - Medium,499,Premium,9,13,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2994,Moderate,0.3870301,Product education campaign,P3 - Medium,0,Free,13,10,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2305,Moderate,0.38654572,Feature discovery campaign,P3 - Medium,299,Basic,2,20,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1070,Moderate,0.38632548,Feature discovery campaign,P3 - Medium,299,Basic,1,16,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3277,Moderate,0.3857001,Product education campaign,P3 - Medium,299,Basic,19,11,0,Simulated - Pending,2026-09-07,Not Yet Measured,
269,Moderate,0.38444078,Feature discovery campaign,P3 - Medium,499,Premium,4,18,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4963,Moderate,0.38396114,Product education campaign,P3 - Medium,0,Free,10,13,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2735,Moderate,0.38388482,Product education campaign,P3 - Medium,0,Free,11,13,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2899,Moderate,0.38383093,Product education campaign,P3 - Medium,299,Basic,19,12,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3884,Moderate,0.38277572,Feature discovery campaign,P3 - Medium,499,Premium,6,15,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2782,Moderate,0.3794583,Feature discovery campaign,P3 - Medium,299,Basic,1,16,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4662,Moderate,0.37815055,Product education campaign,P3 - Medium,299,Basic,7,12,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1455,Moderate,0.3774158,Product education campaign,P3 - Medium,499,Premium,15,9,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1896,Moderate,0.37544063,Product education campaign,P3 - Medium,499,Premium,15,9,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2256,Moderate,0.37203482,Product education campaign,P3 - Medium,299,Basic,7,13,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2089,Moderate,0.37195945,Product education campaign,P3 - Medium,299,Basic,16,10,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3707,Moderate,0.37115252,Product education campaign,P3 - Medium,299,Basic,15,13,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2074,Moderate,0.37051874,Feature discovery campaign,P3 - Medium,0,Free,3,20,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4816,Moderate,0.36716458,Product education campaign,P3 - Medium,0,Free,13,11,1,Simulated - Pending,2026-09-07,Not Yet Measured,
42,Moderate,0.36195806,Feature discovery campaign,P3 - Medium,0,Free,1,16,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1362,Moderate,0.3617386,Product education campaign,P3 - Medium,0,Free,17,10,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1780,Moderate,0.35933074,Product education campaign,P3 - Medium,299,Basic,8,13,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3572,Moderate,0.35933074,Product education campaign,P3 - Medium,299,Basic,8,13,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4264,Moderate,0.35872644,Feature discovery campaign,P3 - Medium,0,Free,6,15,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4854,Moderate,0.35799006,Product education campaign,P3 - Medium,299,Basic,13,12,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1092,Moderate,0.35769477,Feature discovery campaign,P3 - Medium,299,Basic,2,14,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3675,Moderate,0.35680336,Product education campaign,P3 - Medium,0,Free,16,10,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3313,Moderate,0.3540083,Product education campaign,P3 - Medium,299,Basic,7,13,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2987,Moderate,0.35329714,Feature discovery campaign,P3 - Medium,0,Free,11,15,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4100,Moderate,0.34733844,Feature discovery campaign,P3 - Medium,299,Basic,3,20,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4179,Moderate,0.346149,Product education campaign,P3 - Medium,299,Basic,9,13,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3094,Moderate,0.34546924,Product education campaign,P3 - Medium,0,Free,18,10,0,Simulated - Pending,2026-09-07,Not Yet Measured,
283,Moderate,0.3435288,Feature discovery campaign,P3 - Medium,499,Premium,17,15,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2076,Moderate,0.3435288,Feature discovery campaign,P3 - Medium,499,Premium,17,15,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1931,Moderate,0.3425861,Feature discovery campaign,P3 - Medium,299,Basic,13,15,0,Simulated - Pending,2026-09-07,Not Yet Measured,
411,Moderate,0.34045118,Feature discovery campaign,P3 - Medium,0,Free,11,15,1,Simulated - Pending,2026-09-07,Not Yet Measured,
351,Moderate,0.33875352,Product education campaign,P3 - Medium,299,Basic,1,11,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4915,Moderate,0.336805,Feature discovery campaign,P3 - Medium,499,Premium,14,15,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3038,Moderate,0.33602917,Feature discovery campaign,P3 - Medium,299,Basic,16,15,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1768,Moderate,0.3346575,Feature discovery campaign,P3 - Medium,0,Free,3,29,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4977,Moderate,0.33141983,Product education campaign,P3 - Medium,0,Free,12,12,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1204,Moderate,0.33060804,Product education campaign,P3 - Medium,0,Free,5,12,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4678,Moderate,0.3305092,Product education campaign,P3 - Medium,0,Free,7,10,0,Simulated - Pending,2026-09-07,Not Yet Measured,
721,Moderate,0.3284247,Product education campaign,P3 - Medium,299,Basic,15,10,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4541,Moderate,0.32800066,Product education campaign,P3 - Medium,0,Free,15,12,0,Simulated - Pending,2026-09-07,Not Yet Measured,
284,Moderate,0.3278467,Product education campaign,P3 - Medium,0,Free,8,13,1,Simulated - Pending,2026-09-07,Not Yet Measured,
2044,Moderate,0.32775843,Product education campaign,P3 - Medium,299,Basic,6,3,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4953,Moderate,0.32654983,Product education campaign,P3 - Medium,499,Premium,14,10,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4595,Moderate,0.32610905,Feature discovery campaign,P3 - Medium,299,Basic,18,14,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3293,Moderate,0.3260887,Product education campaign,P3 - Medium,499,Premium,12,12,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1084,Moderate,0.32544282,Product education campaign,P3 - Medium,499,Premium,15,9,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3456,Moderate,0.32514945,Product education campaign,P3 - Medium,0,Free,12,11,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4170,Moderate,0.32492888,Product education campaign,P3 - Medium,0,Free,1,11,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1669,Moderate,0.3235559,Feature discovery campaign,P3 - Medium,499,Premium,14,15,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1422,Moderate,0.32256767,Product education campaign,P3 - Medium,0,Free,14,12,0,Simulated - Pending,2026-09-07,Not Yet Measured,
181,Moderate,0.32143995,Product education campaign,P3 - Medium,499,Premium,15,13,0,Simulated - Pending,2026-09-07,Not Yet Measured,
462,Moderate,0.32077688,Product education campaign,P3 - Medium,0,Free,12,10,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1273,Moderate,0.31829435,Product education campaign,P3 - Medium,299,Basic,19,12,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3327,Moderate,0.31755164,Product education campaign,P3 - Medium,499,Premium,16,10,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1679,Moderate,0.31730813,Product education campaign,P3 - Medium,0,Free,15,13,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3782,Moderate,0.31664965,Feature discovery campaign,P3 - Medium,299,Basic,18,14,0,Simulated - Pending,2026-09-07,Not Yet Measured,
471,Moderate,0.3158205,Product education campaign,P3 - Medium,0,Free,16,12,0,Simulated - Pending,2026-09-07,Not Yet Measured,
878,Moderate,0.31325153,Feature discovery campaign,P3 - Medium,0,Free,13,15,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1678,Moderate,0.3126522,Feature discovery campaign,P3 - Medium,0,Free,6,15,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1883,Moderate,0.31028503,Product education campaign,P3 - Medium,0,Free,17,3,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1885,Moderate,0.30985376,Feature discovery campaign,P3 - Medium,299,Basic,11,15,1,Simulated - Pending,2026-09-07,Not Yet Measured,
2852,Moderate,0.3090017,Feature discovery campaign,P3 - Medium,0,Free,11,15,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4377,Moderate,0.30867234,Product education campaign,P3 - Medium,0,Free,15,13,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1312,Moderate,0.30818656,Product education campaign,P3 - Medium,0,Free,19,3,0,Simulated - Pending,2026-09-07,Not Yet Measured,
23,Moderate,0.3076435,Feature discovery campaign,P3 - Medium,499,Premium,12,15,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3079,Moderate,0.30343813,Feature discovery campaign,P3 - Medium,0,Free,16,14,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3791,Moderate,0.30216163,Feature discovery campaign,P3 - Medium,0,Free,9,15,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4046,Moderate,0.30158183,Product education campaign,P3 - Medium,0,Free,14,13,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1382,Moderate,0.30135867,Product education campaign,P3 - Medium,499,Premium,16,11,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3689,Moderate,0.30048874,Product education campaign,P3 - Medium,0,Free,19,10,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3857,Moderate,0.2995815,Product education campaign,P3 - Medium,499,Premium,18,10,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4470,Moderate,0.2995187,Feature discovery campaign,P3 - Medium,0,Free,12,15,0,Simulated - Pending,2026-09-07,Not Yet Measured,
1889,Moderate,0.29839617,Product education campaign,P3 - Medium,0,Free,18,7,0,Simulated - Pending,2026-09-07,Not Yet Measured,
3284,Moderate,0.29817322,Feature discovery campaign,P3 - Medium,499,Premium,6,14,0,Simulated - Pending,2026-09-07,Not Yet Measured,
